agency,population,adult-arrests,juvenile-arrests,adult-arrests-per-1000,juvenile-arrests-per-1000
"Beaver County Sheriff","5,615","121","32","21.55","5.70"
"Minersville Marshal","886",,,,
"Box Elder County Sheriff","14,969","168","33","11.22","2.20"
"Brigham City PD","18,149","580","177","31.96","9.75"
"Garland PD","2,360",,,,
"Mantua PD","673",,,,
"Perry PD","4,484","84","13","18.73","2.90"
"Tremonton PD","7,790","252","95","32.35","12.20"
"Willard PD","1,746","58","1","33.22","0.57"
"Cache County Sheriff","43,834","1406","533","32.08","12.16"
"Cache-Rich Drug Task Force","0","96","2",,
"Logan PD","48,879","1727","725","35.33","14.83"
"North Park PD","12,819","172","76","13.42","5.93"
"Smithfield PD","9,988","138","36","13.82","3.60"
"Utah State University PD","0","37","0",,
"Carbon County Sheriff","7,486","90","12","12.02","1.60"
"East Carbon PD","1,277","281","60","220.05","46.99"
"Helper PD","2,189","66","8","30.15","3.65"
"Price PD","8,621","419","74","48.60","8.58"
"Utah State University Eastern (formerly CEU)","0",,,,
"Wellington PD","1,673","2","0","1.20","0.00"
"Daggett County Sheriff","1,090","33","0","30.28","0.00"
"Davis County Sheriff","25,305","872","130","34.46","5.14"
"Bountiful PD","42,898","1284","395","29.93","9.21"
"Centerville PD","16,203","1025","78","63.26","4.81"
"Clearfield PD","30,376","795","331","26.17","10.90"
"Clinton PD","20,805","205","35","9.85","1.68"
"Davis County Task Force","0","133","6",,
"Farmington PD","20,750","582","122","28.05","5.88"
"Kaysville PD","28,283","389","111","13.75","3.92"
"Layton PD","68,677","1854","735","27.00","10.70"
"North Salt Lake PD","16,717","960","95","57.43","5.68"
"Sunset PD","5,136","16","0","3.12","0.00"
"Syracuse PD","25,118","531","247","21.14","9.83"
"West Bountiful PD","5,329","355","32","66.62","6.00"
"Woods Cross PD","10,212","368","88","36.04","8.62"
"Duchesne County Sheriff","12,934","846","106","65.41","8.20"
"Roosevelt PD","6,310","546","124","86.53","19.65"
"Emery County Sheriff §","10,933","78","8","7.13","0.73"
"Garfield County Sheriff","5,095",,,,
"Grand County Sheriff","4,235","235","5","55.49","1.18"
"Moab PD","5,093","570","42","111.92","8.25"
"Iron County Sheriff","8,729","450","18","51.55","2.06"
"Brian Head Marshal","84","3","0","35.71","0.00"
"Cedar City PD","29,118","1102","275","37.85","9.44"
"Enoch PD","5,992","51","0","8.51","0.00"
"Parowan PD","2,827","31","13","10.97","4.60"
"Southern Utah University PD","0","33","4",,
"Juab County Sheriff","4,903","130","0","26.51","0.00"
"Nephi PD","5,438","123","6","22.62","1.10"
"Kane County Sheriff","2,339","14","0","5.99","0.00"
"Big Water Marshal","472","4","0","8.47","0.00"
"Kanab PD","4,410","145","47","32.88","10.66"
"Millard County Sheriff","12,569","226","78","17.98","6.21"
"Morgan County Sheriff","9,821","93","6","9.47","0.61"
"Piute County Sheriff","1,524","8","3","5.25","1.97"
"Rich County Sheriff","2,267","27","8","11.91","3.53"
"Unified PD of Greater Salt Lake","270,928","6566","1002","24.24","3.70"
"Alta Marshal","389",,,,
"Bluffdale PD","7,975","231","54","28.97","6.77"
"Cottonwood Heights PD","34,017","1019","195","29.96","5.73"
"Draper PD","42,268","691","147","16.35","3.48"
"Granite School District PD","0","38","430",,
"Murray PD","48,263","1283","394","26.58","8.16"
"Salt Lake City PD","189,314","19805","1879","104.61","9.93"
"Sandy PD","89,344","2165","903","24.23","10.11"
"South Jordan PD","55,934","519","203","9.28","3.63"
"South Salt Lake PD","24,366","1758","186","72.15","7.63"
"Taylorsville PD ***","60,227","819","112","13.60","1.86"
"University of Utah PD","0","203","7",,
"West Jordan PD","108,383","2295","807","21.17","7.45"
"West Valley City PD","132,434","4563","1710","34.45","12.91"
"San Juan County Sheriff","9,481","272","0","28.69","0.00"
"Blanding PD","3,504","199","38","56.79","10.84"
"Monticello PD","1,980","25","0","12.63","0.00"
"Sanpete County Sheriff","9,108","118","120","12.96","13.18"
"Centerfield PD","1,372","3","0","2.19","0.00"
"Ephraim PD","6,146",,,,
"Fairview PD","1,252","5","20","3.99","15.97"
"Fountain Green PD","1,077","7","1","6.50","0.93"
"Gunnison PD","3,250",,,,
"Moroni PD","1,429","4","4","2.80","2.80"
"Mt. Pleasant PD","3,278","77","36","23.49","10.98"
"Snow College Public Safety","0","8","5",,
"Spring City PD","994",,,,
"Sevier County Sheriff","10,772","252","36","23.39","3.34"
"Richfield PD","7,520","184","85","24.47","11.30"
"Salina PD","2,492","185","26","74.24","10.43"
"Summit County Sheriff","28,242","1703","105","60.30","3.72"
"Kamas PD","1,899","24","0","12.64","0.00"
"Park City PD","7,862","533","120","67.79","15.26"

"Tooele County Sheriff","17,761","875","82","49.27","4.62"
"Grantsville PD","9,379","290","94","30.92","10.02"
"Stockton PD","615","3","0","4.88","0.00"
"Tooele PD","32,115","2301","462","71.65","14.39"
"Uintah County Sheriff","22,824","1786","234","78.25","10.25"
"Naples PD","1,883","112","11","59.48","5.84"
"Vernal PD","9,817","1412","167","143.83","17.01"
"Utah County Sheriff","40,958","1651","212","40.31","5.18"
"American Fork/Cedar Hills PD","37,210","983","285","26.42","7.66"
"Brigham Young University PD","0","122","11",,
"Lehi PD","51,173","795","211","15.54","4.12"
"Lindon PD","10,442","462","98","44.24","9.39"
"Lone Peak PD","26,293","344","109","13.08","4.15"
"Mapleton PD","8,442","112","22","13.27","2.61"
"Orem DPS","90,749","2637","511","29.06","5.63"
"Payson PD","18,938","700","183","36.96","9.66"
"Pleasant Grove PD","34,519","765","174","22.16","5.04"
"Provo PD","115,919","2097","606","18.09","5.23"
"Salem PD","6,762","208","37","30.76","5.47"
"Santaquin/Genola PD","11,064","123","19","11.12","1.72"
"Saratoga Springs PD","21,137","365","156","17.27","7.38"
"Spanish Fork PD","36,277","395","144","10.89","3.97"
"Springville PD","30,621","895","223","29.23","7.28"
"Utah County Attorney – Inv. Division","0","2","1",,
"Utah County Major Crimes Task Force","0","258","5",,
"Utah Valley University PD","0","55","0",,
"Wasatch County Sheriff","13,013","30","21","2.31","1.61"
"Heber City PD","12,260","235","4","19.17","0.33"
"Washington County Sheriff","12,936","527","15","40.74","1.16"
"Dixie State University PD","0",,,,
"Hildale PD","2,921","0","3","0.00","1.03"
"Hurricane PD","14,362","375","170","26.11","11.84"
"La Verkin PD","4,146","95","18","22.91","4.34"
"Santa Clara Ivins Public Safety","13,448","154","38","11.45","2.83"
"Springdale PD","547","21","0","38.39","0.00"
"St. George PD","75,561","2189","556","28.97","7.36"
"Washington City PD","20,888","640","149","30.64","7.13"
"Wayne County Sheriff",,"2,737","3","5","1.10","1.83"
"Weber County Sheriff",,"58,010","1318","270","22.72","4.65"
"Harrisville PD",,"5,804","330","32","56.86","5.51"
"North Ogden PD",,"17,791","101","10","5.68","0.56"
"Ogden PD",,"83,793","4829","975","57.63","11.64"
"Pleasant View PD",,"8,340","87","4","10.43","0.48"
"Riverdale PD",,"8,560","901","57","105.26","6.66"
"Roy PD",,"37,604","853","223","22.68","5.93"
"South Ogden PD",,"16,738","363","3","21.69","0.18"
"Weber State University PD",,"0","13","0",,
"Utah Division of Wildlife Resources",,"0","154","1",,
"Utah Highway Patrol",,"0","5249","115",,
"Utah Parks and Recreation",,"0","224","8",,
"Utah Transit Authority DPS",,"0","2808","115",,
"State/Regional Agencies",,"0","8,435","239",,
